ts_code,trade_date,open,high,low,close,vol,amount
000300.SH,20240606,3602.1554,3625.0109,3584.171,3592.2454,137893517.0,226764072.6392
000300.SH,20240607,3594.6335,3603.0698,3552.0853,3574.1143,131103026.0,213001530.0978
000300.SH,20240611,3555.8186,3565.3113,3525.8945,3542.8771,134522306.0,219282337.214
000300.SH,20240612,3539.0947,3551.1706,3531.5657,3544.1225,122813729.0,200722600.6311
000300.SH,20240613,3548.2162,3551.0771,3520.1802,3526.1306,123245462.0,214792338.4493
000300.SH,20240614,3514.7998,3547.1473,3503.5233,3541.5331,171516942.0,283768816.845
000300.SH,20240617,3521.4365,3540.7932,3520.7381,3536.1986,137433438.0,232293851.8939
000300.SH,20240618,3533.4875,3551.7085,3532.7845,3545.5902,123671838.0,208824124.156
000300.SH,20240619,3543.3599,3543.3599,3524.8449,3528.749,106642797.0,184790298.7286
000300.SH,20240620,3525.1687,3533.9865,3500.131,3503.2817,111617396.0,186515776.5747
000300.SH,20240621,3496.3428,3505.5123,3473.8283,3495.6198,109186615.0,182736735.0668
000300.SH,20240624,3473.6392,3505.7752,3471.2164,3476.8102,117990184.0,195787549.3136
000300.SH,20240625,3475.1648,3483.2189,3440.6464,3457.9023,118448118.0,190886336.7624
000300.SH,20240626,3451.5389,3487.3964,3442.2982,3480.2648,105898861.0,171538111.7023
000300.SH,20240627,3467.2888,3471.1423,3452.5775,3454.1175,114918101.0,174112508.7961
000300.SH,20240628,3443.6744,3484.678,3443.6744,3461.657,135409153.0,205118806.8118
000300.SH,20240701,3458.2636,3479.9548,3443.8086,3478.1827,121829770.0,188018227.7748
000300.SH,20240702,3472.4527,3488.3189,3464.5237,3471.7857,121650121.0,186104752.4219
000300.SH,20240703,3471.5556,3478.7047,3454.9942,3463.4141,103857108.0,163035359.3631
000300.SH,20240704,3468.2958,3483.3098,3444.928,3445.8128,104429909.0,159477153.5695
000300.SH,20240705,3443.3588,3451.0386,3399.6693,3431.0605,116609659.0,181416567.4028
000300.SH,20240708,3420.8033,3428.0418,3395.9123,3401.7604,115528218.0,177559765.8275
000300.SH,20240709,3396.8044,3448.9279,3384.8086,3439.8111,131629443.0,215048837.8198
000300.SH,20240710,3425.8818,3447.505,3423.6483,3428.9657,127203456.0,198149476.8491
000300.SH,20240711,3451.0442,3473.9837,3438.118,3468.169,145892466.0,237551298.4816
000300.SH,20240712,3459.9564,3479.0958,3457.3633,3472.4014,130874589.0,205055553.8564
000300.SH,20240715,3462.6113,3481.4613,3460.7915,3476.2467,118517083.0,171584915.3795
